Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,2754,11647,11777,18167,26036,13613,19046,10594,19305,23897,21105,8238,7751,12164,11247,29922,32170,9650,8419,5294,14006,21957,21832,24395,15673,49672,2261
,,,,,,,,2755,11816,11788,18187,26085,13665,18882,10508,18927,23449,21476,8262,7742,11931,11259,29893,32002,9567,8303,5213,13773,22973,21667,24257,16059,48559,2216
,,,,,,,,2756,11713,11644,17973,25786,13598,19063,10767,18741,23715,20938,8243,7724,11854,11339,30203,32083,9465,8329,5192,13578,22787,21841,24989,16219,47975,2200
,,,,,,,,2757,11619,11488,17743,23992,13979,19476,11003,19286,24166,20463,8395,7854,12132,11836,31480,33362,9434,8535,5251,13913,21736,21800,24904,16729,49408,2274
,,,,,,,,2758,11789,11552,17853,22087,14956,19265,10671,18993,23370,20634,8368,7836,12404,11876,31436,33872,9537,8395,5184,13776,20667,21197,23857,17596,49061,2266
,,,,,,,,2759,12234,11993,18539,20593,14670,18695,10109,18347,22200,20678,7919,7411,12125,11246,29856,32498,9812,8044,4944,13222,19946,20385,22551,17931,47559,2210
,,,,,,,,2760,12373,12585,19461,19977,13585,17877,9500,17229,21061,20444,7188,6773,11423,10418,27544,30537,9707,7625,4677,12360,19318,19593,21419,18033,45364,2122
,,,,,,,,2761,12152,12467,19285,19560,12654,17178,9055,16340,20127,20012,6726,6352,10642,9697,25933,29142,9260,7255,4464,11667,19043,19106,20847,17764,43419,2033
,,,,,,,,2762,11588,11703,18105,19296,12381,16774,8848,15722,19439,19137,6561,6186,10233,9480,25324,28740,8682,6886,4286,11049,18858,18916,20461,16882,41664,1948
,,,,,,,,2763,11042,10697,16542,18554,10350,16418,8557,15542,19125,17968,6016,5752,9941,8989,23900,27605,8286,6783,4207,10859,18157,18467,19811,16123,40708,1900
,,,,,,,,2764,10414,9983,15430,18561,9846,16128,8518,15038,18784,17221,5914,5647,9588,8857,23447,27150,8091,6563,4068,10489,18740,18091,19486,15370,38903,1802
,,,,,,,,2765,10039,9744,15056,19664,9574,16241,8843,14909,19179,16823,5894,5620,9406,8913,23345,27287,7863,6528,4069,10368,20035,18270,19885,14467,37717,1734
,,,,,,,,2766,9680,9291,14354,20615,9587,16743,9668,15060,20406,16015,6118,5845,9570,9717,24640,28434,7616,6730,4214,10548,20789,18893,21477,13645,37901,1725
,,,,,,,,2767,9431,8878,13711,19193,9824,17159,9947,15860,21816,15835,6398,6096,9885,10132,25874,29571,7645,7221,4532,11307,19560,18691,21012,13178,40148,1815
,,,,,,,,2768,9379,8695,13422,18718,10972,17138,10193,15128,21701,15951,6898,6590,10312,10923,27500,30640,7862,7122,4515,10922,20068,18310,20665,12801,38382,1727
,,,,,,,,2769,9608,8994,13877,20091,12296,17645,10523,14673,21730,16857,7461,7135,11150,11583,29149,32051,7671,7107,4461,10667,21717,19154,21567,12331,36841,1653
,,,,,,,,2770,9408,9005,13896,22581,13038,18519,10986,15549,22563,17240,7956,7605,11899,12136,30651,33422,7653,7461,4615,11286,23483,20703,23453,11708,38546,1727
,,,,,,,,2771,9398,9495,14653,24188,13307,19223,11217,16784,23622,18195,8159,7766,12234,12163,30936,33973,7910,7916,4859,12066,23619,21902,24741,11741,41122,1843
,,,,,,,,2772,9744,10245,15807,27081,15101,20077,11685,17306,24002,19328,8901,8360,12735,13414,33817,36433,8393,8145,4999,12490,25836,23483,26710,12033,42747,1922
,,,,,,,,2773,10065,10862,16754,29220,16332,21082,11870,19021,25374,20500,9122,8535,13424,13200,34106,36780,8567,8773,5367,13393,25642,24496,27812,12598,46422,2110
,,,,,,,,2774,10332,11177,17238,29632,15503,21088,11721,20364,25907,21019,8776,8281,13299,12543,32501,35335,9127,9287,5599,14357,24365,24157,27760,13406,50405,2308
,,,,,,,,2775,10789,12054,18599,29325,14695,20324,11345,20195,25239,23460,8376,7985,13025,12024,30908,33878,9373,9258,5498,14577,23333,23376,27111,14723,51552,2358
,,,,,,,,2776,10887,12368,19087,29894,14362,20004,11234,19932,24651,23365,8362,7948,12840,11987,30879,33675,9316,9141,5395,14689,23426,23269,27503,14816,52302,2388
,,,,,,,,2777,10764,12079,18636,30046,13873,20042,11014,20495,24759,22203,8180,7774,12797,11654,30068,33023,9318,9309,5443,15120,22975,23248,27674,14674,54433,2496
,,,,,,,,2778,10655,11712,18067,29083,13536,19779,10839,20258,24530,21142,8039,7596,12487,11328,29308,32237,9344,9265,5405,15133,22361,22748,27233,14716,55198,2543
,,,,,,,,2779,10818,11736,18108,28720,13590,19674,10831,19566,24093,21416,7950,7480,12332,11277,29157,32206,9349,9110,5304,14897,23061,22455,26800,14944,54307,2513
,,,,,,,,2780,10881,11503,17757,28074,13552,19809,11008,19509,24182,20913,7912,7442,12231,11338,29334,32409,9240,9153,5280,14753,22945,22637,27278,14964,53892,2508
,,,,,,,,2781,10877,11135,17203,26163,13873,20334,11024,20192,24442,20554,8157,7656,12586,11708,30731,33331,9284,9463,5367,15102,21622,22884,27222,15667,55477,2591
,,,,,,,,2782,11119,11367,17572,24135,14763,20296,10644,20304,23811,20764,8187,7691,12825,11581,30694,33377,9427,9495,5372,15096,20627,22344,26187,16755,55618,2609
,,,,,,,,2783,11444,11933,18453,22269,14535,19762,10115,20189,22756,20775,7775,7306,12495,10893,29028,31778,9624,9281,5200,14713,19679,21596,24761,17260,54274,2559
,,,,,,,,2784,11498,12605,19501,20952,13553,19037,9431,19801,21727,20491,7055,6671,11749,10044,26766,29815,9554,8929,5010,14039,19067,20930,23534,17587,51869,2460
,,,,,,,,2785,11297,12757,19743,20204,12631,18310,8998,19062,20761,20019,6581,6235,10993,9555,25228,28597,9145,8524,4788,13329,18588,20351,22561,17388,49093,2329
,,,,,,,,2786,10921,12230,18929,19925,12311,17850,8776,18402,19997,19215,6435,6087,10534,9310,24678,28077,8613,8221,4653,12762,18535,19888,22122,16604,46884,2221
,,,,,,,,2787,10399,11515,17816,19082,10224,17240,8487,18114,19543,18023,5902,5659,10177,8890,23351,27113,8230,7861,4485,12398,18058,19439,21426,16085,45259,2138
,,,,,,,,2788,10116,10903,16858,19243,9734,16693,8426,17303,19021,17329,5796,5552,9791,8588,22757,26704,8066,7367,4253,11828,18440,19093,20980,15528,42943,2013
,,,,,,,,2789,9818,10308,15934,20301,9501,16509,8732,16658,19239,16879,5789,5538,9550,8334,22483,26424,7846,7116,4140,11468,19561,19027,21181,14562,41062,1910
,,,,,,,,2790,9475,9507,14693,21329,9640,16795,9548,16463,20466,16038,6059,5796,9663,8684,23466,27252,7690,7133,4199,11471,20287,19468,22573,13652,40846,1882
,,,,,,,,2791,9315,9017,13929,20057,9911,17005,9860,16931,21784,15874,6371,6073,9963,8949,24564,28156,7641,7293,4335,11909,18854,19297,21852,13189,42624,1948
,,,,,,,,2792,9311,8697,13429,19213,11058,17029,10150,16050,21729,16022,6907,6602,10335,9844,26519,29369,7822,7188,4328,11497,18850,18525,20672,12698,40369,1836
,,,,,,,,2793,9371,8779,13549,20726,12404,17525,10542,15440,21922,16978,7488,7164,11083,10609,28591,31110,7641,7188,4306,11133,20338,18980,21310,12284,38505,1744
,,,,,,,,2794,9278,8809,13599,23185,13175,18470,11046,16391,22827,17339,8013,7660,11753,11501,30551,33038,7687,7513,4475,11694,21896,20292,22931,11829,40035,1810
,,,,,,,,2795,9389,9593,14808,25008,13413,19076,11230,17556,23821,18293,8212,7819,12108,11627,31146,33569,8061,7960,4701,12401,22118,21317,23906,11943,42299,1911
,,,,,,,,2796,9874,10446,16122,28165,15231,19941,11680,17932,24003,19429,8941,8404,12637,12768,33951,36040,8523,8184,4817,12717,24409,23105,25729,12418,43703,1981
,,,,,,,,2797,10301,11213,17302,31546,16523,20997,11828,19458,25279,20671,9138,8556,13262,12801,34295,36702,8627,8694,5141,13544,25217,24488,27661,13151,47529,2175
,,,,,,,,2798,10587,11640,17960,31993,15777,21099,11658,20895,25695,21185,8832,8336,13160,12379,32949,35605,9174,9119,5328,14527,24324,24451,27912,13615,51547,2377
,,,,,,,,2799,11008,12617,19477,31448,15001,20417,11289,20682,25068,23722,8494,8094,12813,11951,31459,34285,9465,8903,5237,14627,23423,23608,27542,14280,52644,2428
,,,,,,,,2800,11110,12433,19192,31693,14683,19900,11158,20354,24412,23362,8525,8098,12596,11907,31627,34119,9391,8583,5107,14613,23678,23380,27724,14246,53438,2464
,,,,,,,,2801,10815,12124,18710,31258,14199,19796,10876,20830,24261,22269,8410,7983,12509,11743,30955,33545,9384,8574,5094,14937,23238,23509,27761,14011,55296,2565
,,,,,,,,2802,10524,11602,17900,29450,13930,19336,10550,20555,23718,21029,8351,7881,12130,11433,30328,32729,9457,8400,4992,14803,22596,22942,27034,13803,55203,2571
,,,,,,,,2803,10509,11583,17874,29318,14135,18967,10503,20031,23196,21387,8356,7855,11897,11419,30368,32638,9487,8166,4867,14387,23296,22764,26824,13917,53670,2513
,,,,,,,,2804,10438,11360,17535,29561,14145,19069,10695,20141,23325,20680,8301,7801,11779,11404,30440,32483,9442,8192,4835,14333,23400,23303,28021,14035,53824,2533
,,,,,,,,2805,10329,11138,17203,28311,14363,19652,11058,21098,23836,20296,8334,7810,12132,11767,31142,33230,9296,8566,4879,14830,22483,23725,28656,14375,55697,2627
,,,,,,,,2806,10375,11137,17212,27227,15040,19756,10788,21347,23243,20581,8276,7759,12493,11750,30979,33632,9317,8599,4804,14898,21851,23635,28507,15304,55562,2629
,,,,,,,,2807,10643,11523,17811,26502,14769,19329,10284,21194,22309,20716,7835,7344,12287,11052,29358,32258,9555,8417,4590,14550,21314,23164,27811,15546,54340,2582
,,,,,,,,2808,10756,12114,18732,25539,13763,18586,9616,20667,21316,20809,7134,6726,11602,10296,27096,30336,9468,8124,4355,13910,20828,22584,26746,15528,52178,2492
,,,,,,,,2809,10598,12093,18704,24792,12854,17880,9164,19968,20361,20426,6635,6257,10801,9720,25238,28793,8996,7793,4147,13223,20157,22128,25954,15068,49380,2357
,,,,,,,,2810,10206,11373,17593,24165,12550,17546,8957,19488,19610,19630,6456,6080,10273,9517,24497,28123,8477,7641,4017,12772,20004,21980,25338,14504,47816,2278
,,,,,,,,2811,9827,10399,16081,22737,10232,17006,8653,19039,19374,18306,5904,5640,9914,9087,23070,27106,8055,7368,3955,12432,19291,21182,24243,14276,46323,2201
,,,,,,,,2812,9467,9817,15172,21961,9684,16422,8592,18200,18952,17561,5763,5502,9457,8810,22429,26626,7878,6992,3866,11947,19458,20445,23215,13773,43825,2067
,,,,,,,,2813,9264,9465,14626,22392,9433,16303,8867,17447,19343,17346,5741,5473,9262,8622,22100,26450,7652,6829,3877,11576,20313,20091,22824,13260,41840,1958
,,,,,,,,2814,8976,8822,13634,22480,9454,16816,9674,17099,20540,16534,6075,5778,9657,9001,23289,27729,7482,6877,4056,11581,20768,20075,23352,12498,41439,1921
,,,,,,,,2815,8822,8437,13037,20879,9687,17036,9948,17203,21908,16597,6363,6034,10001,9154,24187,28702,7359,7083,4327,11904,19285,19175,22364,12179,42278,1939
,,,,,,,,2816,8853,8219,12696,19995,10845,17186,10214,16227,21915,17179,6889,6550,10437,9656,25890,29891,7635,7019,4307,11420,18709,18203,21011,11701,40214,1835
,,,,,,,,2817,8912,8414,12994,21443,12273,17695,10579,15562,22097,18277,7502,7141,11150,10399,27842,31505,7521,7008,4313,11069,20027,19290,21805,11366,38571,1754
,,,,,,,,2818,8854,8480,13100,24063,13153,18465,11050,16377,22990,18842,8027,7638,11800,11100,29690,33053,7607,7272,4459,11573,21564,20210,23342,11150,39783,1804
,,,,,,,,2819,9032,9480,14642,25702,13444,19070,11242,17378,23977,19903,8265,7833,12185,11207,30194,33495,7907,7627,4672,12171,22017,21230,24432,11426,41561,1884
,,,,,,,,2820,9521,10593,16358,28504,15216,19841,11694,17596,24188,21001,8976,8395,12620,12066,32888,35784,8359,7708,4751,12356,24415,22689,26133,12153,42636,1939
,,,,,,,,2821,9913,11608,17922,31907,16385,20752,11805,18903,25399,22232,9215,8578,13273,12269,33173,36134,8436,8125,5040,13119,25955,23912,28106,12731,45924,2109
,,,,,,,,2822,10348,12104,18685,32358,15572,20650,11602,20219,25675,22633,8892,8334,13088,11896,31803,35080,8997,8369,5182,13908,25328,23939,28540,13405,49486,2289
,,,,,,,,2823,10832,13186,20364,31556,14757,19848,11172,19977,24793,25105,8508,8044,12792,11580,30263,33582,9093,8173,5036,13986,24500,22984,27984,14344,50338,2329
,,,,,,,,2824,10878,12867,19868,31868,14416,19370,10930,19672,23934,24393,8507,8014,12510,11592,30240,33306,8909,7905,4882,14017,24831,22824,28162,14476,51184,2368
,,,,,,,,2825,10644,12358,19074,31701,13836,19144,10607,20130,23835,22850,8302,7811,12397,11406,29381,32345,8733,7944,4867,14401,24242,22787,28276,14198,53296,2478
,,,,,,,,2826,10495,11860,18299,30663,13418,18640,10280,19994,23228,21333,8143,7608,11998,11113,28502,31205,8680,7807,4794,14403,23227,22144,27576,14207,53254,2486
,,,,,,,,2827,10486,11872,18322,30642,13365,18301,10132,19437,22658,21577,8110,7544,11766,10962,28374,30825,8652,7587,4680,14038,23699,21689,27122,14363,51798,2430
,,,,,,,,2828,10395,11574,17866,31130,13289,18310,10273,19384,22863,20527,8054,7489,11721,10795,28358,30456,8642,7589,4664,13942,23964,21743,27801,14125,51580,2433
,,,,,,,,2829,10236,11290,17439,30411,13647,18678,10607,19967,23221,19906,8272,7677,11885,11158,29554,31466,8625,7817,4653,14171,23400,21920,28326,14191,52945,2503
,,,,,,,,2830,10199,11200,17311,29767,14699,18603,10436,20358,22567,20042,8384,7786,12109,11287,30082,32328,8607,7677,4558,14316,22965,21768,28401,14945,53152,2520
,,,,,,,,2831,10360,11418,17651,28899,14664,18160,9973,20463,21865,19991,8074,7498,11983,10837,29005,31349,8863,7491,4426,14248,22352,21396,27990,15103,52719,2509
,,,,,,,,2832,10527,11986,18536,27883,13831,17394,9270,20191,21056,20052,7415,6930,11401,10192,27019,29512,8916,7195,4265,13779,21679,20721,26764,15267,51471,2459
,,,,,,,,2833,10325,12050,18640,26460,12777,16403,8665,19485,19998,20081,7044,6425,10550,9330,24831,27272,8568,6900,4086,13057,21072,20121,25697,15250,48738,2326
,,,,,,,,2834,9862,11586,17921,25366,12384,15891,8376,18734,18944,19492,6856,6239,9882,8939,24121,26641,8141,6697,3939,12529,20367,19471,24826,14670,45964,2191
,,,,,,,,2835,9204,10657,16475,23778,10267,15438,7991,18233,18509,18039,6305,5789,9487,8383,22755,25441,7576,6508,3852,12185,19270,18964,23676,14037,44190,2103
,,,,,,,,2836,8609,9839,15166,22478,9723,14985,7900,17395,17841,16916,6138,5623,9060,7962,22209,24883,7436,6242,3745,11645,18542,18487,22515,13468,42054,1988
,,,,,,,,2837,8318,9500,14640,21746,9543,14885,7998,16568,17802,16292,6120,5603,8894,7719,21958,24662,7179,6103,3715,11170,18195,18062,21667,12795,39831,1870
,,,,,,,,2838,8015,8905,13712,21206,9961,15215,8483,16160,18293,15331,6312,5755,8995,7905,22911,25631,6992,6084,3768,10974,17781,18039,21289,12017,38534,1793
,,,,,,,,2839,7939,8529,13127,21157,9993,15516,8663,15709,19054,15101,6367,5781,9369,7932,23065,25955,6883,6078,3871,10614,17756,17684,20420,11530,37720,1745
,,,,,,,,2840,8034,8296,12766,20098,10194,15752,9037,15088,19538,15093,6638,6004,9409,8463,24028,26612,7038,6102,3911,10402,16924,17086,19264,11072,36410,1676
,,,,,,,,2841,8284,8354,12852,20703,11033,16239,9402,14205,20046,16084,7089,6381,9877,9288,25538,28197,6784,6120,3921,9958,17503,17090,19279,10635,35049,1606
,,,,,,,,2842,8454,8025,12350,21613,11844,16965,9773,14750,20775,16631,7512,6751,10463,10017,27008,29717,6806,6316,3992,10249,17860,17604,19942,10564,35819,1637
,,,,,,,,2843,8673,8553,13159,22790,12501,17418,10000,15152,21342,17939,7862,7025,10947,10382,27907,30738,6981,6475,4062,10489,18247,18256,20857,10565,36679,1670
,,,,,,,,2844,9072,9322,14346,24329,13336,18004,10322,15654,21737,19083,8286,7370,11344,11296,29627,32338,7283,6630,4131,10907,19447,19348,22184,10938,38021,1734
,,,,,,,,2845,9333,10038,15448,28273,13428,18707,10292,16474,22562,19775,8301,7383,11931,11482,29858,33200,7573,6909,4269,11468,21474,21054,24574,11383,40190,1841
,,,,,,,,2846,9718,10603,16324,30395,13370,19220,10286,18235,22907,20062,8275,7369,11881,11538,29794,33454,8040,7246,4462,12265,22011,22452,26313,11965,44314,2057
,,,,,,,,2847,9805,11434,17615,31122,13216,19206,10222,18771,22914,21309,8119,7254,11779,11526,29264,33006,8001,7409,4510,12624,22365,22874,27240,12677,46550,2176
,,,,,,,,2848,9923,11272,17360,31444,12916,19095,10210,19228,22859,21336,7997,7143,11562,11384,28995,32540,8090,7496,4521,13009,22267,22987,27935,13605,48665,2286
,,,,,,,,2849,9890,11206,17257,31242,12541,18756,10050,19530,22817,21245,7773,6970,11382,11101,28244,31632,8185,7511,4505,13322,21758,23025,28113,14092,50381,2379
,,,,,,,,2850,9931,11126,17133,30751,12564,18474,9996,19568,22485,20803,7744,6924,11164,11188,28325,31396,8090,7438,4445,13386,21642,22891,28052,14379,50606,2399
,,,,,,,,2851,9864,11144,17161,30829,12451,18156,9957,19395,22330,20613,7692,6881,10881,11049,28235,30808,8067,7379,4408,13355,21675,22499,27790,14556,50065,2385
,,,,,,,,2852,9826,11201,17251,31196,12417,17996,9958,19274,22126,19513,7736,6936,10815,11016,28535,30597,8272,7270,4341,13119,21885,22546,28232,14745,50406,2413
,,,,,,,,2853,9826,11346,17484,30975,12714,18339,10183,20084,22294,19251,8034,7207,11023,11339,29334,31424,8208,7422,4371,13571,21527,23172,29052,15242,52003,2491
,,,,,,,,2854,9805,11308,17432,29670,12921,18034,9715,20476,21880,19070,7772,6980,11201,10652,27975,30487,8213,7363,4364,13691,20122,22841,28512,15904,52361,2512
,,,,,,,,2855,10103,11517,17753,28265,12428,17375,9211,19976,20504,18954,7497,6778,10865,10325,26933,29766,8493,6962,4140,13203,19357,22344,27651,16191,51097,2458
,,,,,,,,2856,10299,12027,18540,27608,11776,16808,8691,19664,19620,19118,6997,6390,10597,9908,25585,28657,8215,6580,3933,12762,19462,22199,26725,16252,49716,2394
,,,,,,,,2857,9960,11612,17905,27253,11036,16589,8512,19395,19129,18262,6601,6066,10093,9758,24840,27831,7941,6469,3884,12502,19200,22011,26107,15984,48103,2313
,,,,,,,,2858,9631,10977,16922,26074,10342,16243,8323,19226,18833,17540,6292,5795,9726,9319,23636,26891,7753,6369,3832,12288,18576,21559,25364,15446,47545,2280
,,,,,,,,2859,9456,10531,16238,25226,10298,15918,8224,18564,18282,17069,6309,5769,9484,9145,23622,26813,7560,6188,3735,11879,18614,21065,24360,15296,45795,2188
,,,,,,,,2860,9268,10014,15438,23991,10026,15724,8127,18132,18279,16601,6096,5577,9312,8709,22810,25856,7250,6192,3734,11604,17806,20263,23064,14730,44453,2118
,,,,,,,,2861,8966,9588,14775,22814,9886,15176,8126,17125,17814,15891,6078,5557,9020,8479,22725,25418,7155,5998,3625,11030,17382,19155,21810,14002,41905,1982
,,,,,,,,2862,8760,9377,14442,21203,9735,14976,8107,16326,17900,15960,6114,5599,8898,8188,22154,24938,6884,5910,3611,10713,16805,18087,20633,13187,39997,1875
,,,,,,,,2863,8412,8870,13653,20555,9714,14744,8114,15230,17894,15137,6150,5610,8860,8188,22249,24990,6814,5835,3601,10214,17061,17177,19339,12318,37318,1729
,,,,,,,,2864,8218,8499,13075,19848,9716,14767,8381,14543,18362,14740,6249,5672,8600,8526,22758,25013,6904,5830,3629,9890,16214,16552,18388,11377,35478,1633
,,,,,,,,2865,8027,8226,12647,20258,10339,15080,8583,13666,18569,14647,6596,5955,8962,9134,23925,26127,6797,5824,3663,9477,16509,16480,18546,10466,34003,1558
,,,,,,,,2866,8158,7882,12119,21127,11140,15513,8817,14345,19049,15207,7012,6324,9371,9723,24907,27000,6902,5993,3752,9739,16956,17004,19310,10261,34634,1583
,,,,,,,,2867,8304,7946,12218,22025,11804,15865,8930,14781,19540,16451,7293,6558,9746,9978,25463,27513,7143,6147,3874,9996,17828,17726,20267,10288,35233,1604
,,,,,,,,2868,8713,8447,12993,23730,12440,16417,9187,15305,19892,17754,7633,6848,10020,10627,26800,28737,7514,6381,4010,10363,19232,18938,21933,10616,36278,1653
,,,,,,,,2869,8970,8995,13837,27279,12662,17240,9271,16211,20597,18589,7817,7000,10627,10794,27416,29772,7717,6727,4180,10867,21737,21040,24818,11079,38494,1760
,,,,,,,,2870,9358,9359,14402,29439,12686,17923,9342,18191,21083,19066,7909,7080,10683,10872,27476,30163,8103,7082,4352,11695,22546,22760,26980,11701,42632,1976
,,,,,,,,2871,9452,10013,15415,30265,12635,18050,9341,18872,21226,20308,7858,7050,10728,10816,27258,29915,7991,7225,4435,12013,23068,23329,28153,12552,44776,2090
,,,,,,,,2872,9626,10295,15851,30755,12450,18032,9338,19311,21324,20439,7789,6984,10615,10726,26954,29569,8029,7329,4467,12347,23335,23530,29035,13581,46689,2189
,,,,,,,,2873,9689,10599,16320,30573,12175,17881,9295,19718,21443,20624,7637,6871,10600,10544,26353,29074,8255,7422,4481,12676,23059,23623,29438,14120,48371,2277
,,,,,,,,2874,9803,10785,16604,30537,12310,17836,9362,19942,21436,20359,7689,6899,10564,10627,26592,29198,8271,7441,4465,12930,22890,23693,29591,14619,48872,2308
,,,,,,,,2875,9786,10946,16853,30931,12369,17838,9428,19911,21584,20303,7639,6848,10527,10480,26386,28952,8327,7457,4476,13061,23138,23691,29482,15006,48937,2321
,,,,,,,,2876,9902,11082,17066,31427,12464,17879,9674,19866,21663,19563,7716,6930,10646,10549,26801,29112,8506,7382,4434,13060,23624,24056,30111,15294,49462,2357
,,,,,,,,2877,9970,11294,17400,30761,12874,18328,9960,20816,22128,19536,8149,7323,11047,11216,28696,30502,8478,7555,4475,13702,23410,24780,30915,15810,51769,2468
,,,,,,,,2878,10044,11316,17442,29022,13158,18027,9490,21439,21634,19564,7900,7107,11043,10680,27709,30099,8551,7497,4410,13969,21950,24293,29961,16631,52471,2505
,,,,,,,,2879,10349,11627,17921,27541,12507,17162,8954,20700,20096,19636,7455,6755,10691,10018,26235,28754,8877,7001,4109,13454,21242,23498,28538,16973,51022,2447
,,,,,,,,2880,10431,12146,18723,27029,11750,16678,8614,20086,19308,19735,6933,6344,10429,9662,25207,28136,8634,6596,3928,12897,21417,23315,27563,16898,49319,2371
,,,,,,,,2881,10003,11631,17934,26513,11093,16680,8548,19675,19172,18577,6356,6012,10147,9383,24241,27869,8210,6542,3905,12619,21667,23424,27315,16516,48176,2317
,,,,,,,,2882,9653,10893,16794,25631,10524,16651,8450,19691,19278,17487,6093,5784,9917,9007,23299,27259,8037,6553,3965,12847,20923,23156,26685,15883,48637,2329
,,,,,,,,2883,9568,10410,16058,24856,10616,16513,8415,19159,18845,17202,6104,5773,9751,8937,23342,27348,7975,6399,3907,12509,20903,22527,25754,15551,47260,2255
,,,,,,,,2884,9485,10072,15569,24238,10378,16419,8483,18828,19037,16996,5984,5659,9523,8605,22591,26780,7748,6419,3926,12258,20650,21870,24659,15129,46379,2204
,,,,,,,,2885,9347,9693,14979,24600,10158,16282,8812,17978,19343,16372,5960,5635,9313,8414,22380,26632,7670,6357,3946,11798,21464,21176,24024,14416,44478,2095
,,,,,,,,2886,9198,9538,14742,24182,9770,16466,9612,17636,20629,16556,6040,5754,9365,8694,23000,26981,7390,6531,4101,11693,21032,20816,23972,13701,44061,2052
,,,,,,,,2887,8918,9135,14111,22279,10090,16710,10048,17432,21820,16022,6331,6012,9758,8948,24248,27893,7348,6856,4293,11769,19627,19732,22675,13158,43963,2016
,,,,,,,,2888,8764,8920,13771,20917,11356,16813,10430,16422,21905,16212,6877,6550,10293,9662,26171,29076,7437,6802,4302,11403,18972,18881,21361,12497,42096,1921
,,,,,,,,2889,8741,8948,13804,22172,12718,17348,10901,15735,22276,16883,7433,7087,11158,10584,28077,30771,7352,6840,4318,11034,20403,19311,22043,11877,40245,1830
,,,,,,,,2890,8821,8886,13712,24276,13471,18374,11478,16439,23312,17519,7953,7579,11905,11322,29937,32525,7615,7178,4469,11577,22129,20913,23974,11433,41372,1877
,,,,,,,,2891,9150,9462,14601,25788,13707,19165,11770,17539,24458,18781,8168,7752,12405,11655,30640,33286,7965,7593,4685,12265,22853,22290,25687,11735,43171,1958
,,,,,,,,2892,9711,10266,15839,28530,15668,20161,12225,18017,24768,20116,8903,8341,12938,12741,33585,35779,8542,7747,4784,12604,25470,24154,28000,12309,44195,2011
,,,,,,,,2893,10123,10964,16911,31948,17027,21270,12404,19737,25985,21528,9127,8519,13628,12821,33961,36769,8808,8294,5066,13386,27362,26037,30950,13043,47422,2180
,,,,,,,,2894,10316,11484,17709,32401,16152,21160,12216,21271,26289,21987,8776,8263,13465,12270,32549,35895,9382,8534,5163,14238,26939,26625,32192,13687,50463,2338
,,,,,,,,2895,11001,12460,19221,31594,15253,20443,11828,21239,25456,24496,8372,7963,13085,11960,31034,35080,9364,8341,5013,14286,26313,25900,32179,14948,50730,2352
,,,,,,,,2896,11116,12909,19918,32116,14855,20032,11667,21086,24648,24129,8338,7909,12778,12019,31039,35155,9199,8111,4884,14347,26776,25860,32755,15242,51332,2380
,,,,,,,,2897,10909,12708,19603,32351,14266,20000,11467,21840,24688,22911,8158,7740,12683,11852,30431,34740,9142,8221,4913,14795,26420,26033,33169,15048,53369,2488
,,,,,,,,2898,10738,12496,19271,31686,13833,19738,11250,21711,24301,21660,8032,7577,12369,11696,29887,34132,9251,8104,4879,14841,25656,25663,32593,15069,53430,2500
,,,,,,,,2899,10842,12605,19444,31920,13832,19594,11229,21293,23783,22024,8021,7537,12264,11670,29933,34198,9279,7895,4767,14668,26342,25546,32330,15653,52330,2458
,,,,,,,,2900,10896,12470,19243,32571,13843,19580,11272,21442,23718,21193,8013,7528,12303,11715,30118,34236,9247,7848,4742,14628,26546,26097,32941,15908,52967,2499
,,,,,,,,2901,10876,12272,18950,32004,14224,20002,11256,22231,23963,20648,8203,7696,12587,12037,30999,35117,9200,8087,4826,15098,25602,26652,33381,16399,55028,2601
,,,,,,,,2902,11029,12306,19015,30827,15157,19883,10855,22172,23306,20950,8145,7650,12639,11904,30741,35174,9237,7988,4771,15068,24930,26574,32679,17274,55067,2610
,,,,,,,,2903,11284,12612,19494,29765,14807,19292,10257,21950,22203,21019,7663,7199,12349,11164,28855,33515,9488,7666,4525,14748,24204,26028,31541,17543,54166,2579
,,,,,,,,2904,11499,13089,20239,28521,13687,18399,9617,21291,21025,20996,6938,6557,11593,10341,26503,31417,9456,7288,4211,14013,23524,25278,30030,17751,52267,2500
,,,,,,,,2905,11337,12928,19998,27282,12766,17639,9213,20353,20115,20728,6537,6212,10856,9657,25349,29792,9035,6959,4026,13231,22411,24557,28919,17549,49431,2364
,,,,,,,,2906,10967,12116,18743,26112,12541,17101,8965,19633,19540,19939,6370,6043,10388,9628,24892,29020,8446,6663,3923,12642,21754,23734,27879,16672,48112,2296
